--2017-05-08 02:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
  1950K .......... .......... .......... .......... ..........  1% 69.8M 25s
  2000K .......... .......... .......... .......... ..........  2%  111M 25s
  2050K .......... .......... .......... .......... ..........  2% 64.3M 24s
  2100K .......... .......... .......... .......... ..........  2% 86.8M 24s
  2150K .......... .......... .......... .......... ..........  2%  131M 23s
  2200K .......... .......... .......... .......... ..........  2%  167M 23s
  2250K .......... .......... .......... .......... ..........  2% 13.2M 22s
  2300K .......... .......... .......... .......... ..........  2%  118M 22s
  2350K .......... .......... .......... .......... ..........  2% 59.0M 21s
  2400K .......... .......... .......... .......... ..........  2%  160M 21s
  2450K .......... .......... .......... .......... ..........  2%  172M 21s
  2500K .......... .......... .......... .......... ..........  2%  170M 20s
  2550K .......... .......... .......... .......... ..........  2%  211M 20s
  2600K .......... .......... .......... .......... ..........  2%  431M 19s
  2650K .......... .......... .......... .......... ..........  2%  461M 19s
  2700K .......... .......... .......... .......... ..........  2%  461M 19s
  2750K .......... .......... .......... .......... ..........  2%  398M 18s
  2800K .......... .......... .......... .......... ..........  2% 1.60M 19s
  2850K .......... .......... .......... .......... ..........  2% 95.3M 19s
  2900K .......... .......... .......... .......... ..........  2% 83.9M 18s
  2950K .......... .......... .......... .......... ..........  2% 3.23M 19s
  3000K .......... .......... .......... .......... ..........  2%  127M 18s
  3050K .......... .......... .......... .......... ..........  3%  257M 18s
  3100K .......... .......... .......... .......... ..........  3%  149M 18s
  3150K .......... .......... .......... .......... ..........  3%  118M 17s
  3200K .......... .......... .......... .......... ..........  3% 18.1M 17s
  3250K .......... .......... .......... .......... ..........  3%  147M 17s
  3300K .......... .......... .......... .......... ..........  3%  155M 17s
  3350K .......... .......... .......... .......... ..........  3%  159M 17s
  3400K .......... .......... .......... .......... ..........  3%  142M 16s
  3450K .......... .......... .......... .......... ..........  3% 24.7M 16s
  3500K .......... .......... .......... .......... ..........  3%  442M 16s
  3550K .......... .......... .......... .......... ..........  3%  362M 16s
  3600K .......... .......... .......... .......... ..........  3%  451M 15s
  3650K .......... .......... .......... .......... ..........  3%  455M 15s
  3700K .......... .......... .......... .......... ..........  3%  453M 15s
  3750K .......... .......... .......... .......... ..........  3%  383M 15s
  3800K .......... .......... .......... .......... ..........  3%  457M 15s
  3850K .......... .......... .......... .......... ..........  3%  453M 14s
  3900K .......... .......... .......... .......... ..........  3%  434M 14s
  3950K .......... .......... .......... .......... ..........  3%  398M 14s
  4000K .......... .......... .......... .......... ..........  3%  462M 14s
  4050K .......... .......... .......... .......... ..........  4%  467M 14s
  4100K .......... .......... .......... .......... ..........  4% 1.89M 14s
  4150K .......... .......... .......... .......... ..........  4% 74.9M 14s
  4200K .......... .......... .......... .......... ..........  4% 87.8M 14s
  4250K .......... .......... .......... .......... ..........  4%  135M 14s
  4300K .......... .......... .......... .......... ..........  4% 5.28M 14s
  4350K .......... .......... .......... .......... ..........  4% 10.2M 14s
  4400K .......... .......... .......... .......... ..........  4% 95.1M 13s
  4450K .......... .......... .......... .......... ..........  4%  154M 13s
  4500K .......... .......... .......... .......... ..........  4%  179M 13s
  4550K .......... .......... .......... .......... ..........  4% 96.4M 13s
  4600K .......... .......... .......... .......... ..........  4% 83.4M 13s
  4650K .......... .......... .......... .......... ..........  4%  101M 13s
  4700K .......... .......... .......... .......... ..........  4%  181M 13s
  4750K .......... .......... .......... .......... ..........  4% 9.08M 13s
  4800K .......... .......... .......... .......... ..........  4%  148M 12s
  4850K .......... .......... .......... .......... ..........  4%  149M 12s
  4900K .......... .......... .......... .......... ..........  4%  219M 12s
  4950K .......... .......... .......... .......... ..........  4%  140M 12s
  5000K .......... .......... .......... .......... ..........  4%  188M 12s
  5050K .......... .......... .......... .......... ..........  4%  152M 12s
  5100K .......... .......... .......... .......... ..........  5%  225M 12s
  5150K .......... .......... .......... .......... ..........  5%  177M 12s
  5200K .......... .......... .......... .......... ..........  5%  147M 12s
  5250K .......... .......... .......... .......... ..........  5% 3.36M 12s
  5300K .......... .......... .......... .......... ..........  5%  397M 12s
  5350K .......... .......... .......... .......... ..........  5%  392M 11s
  5400K .......... .......... .......... .......... ..........  5%  418M 11s
  5450K .......... .......... .......... .......... ..........  5%  354M 11s
  5500K .......... .......... .......... .......... ..........  5%  431M 11s
  5550K .......... .......... .......... .......... ..........  5%  425M 11s
  5600K .......... .......... .......... .......... ..........  5%  435M 11s
  5650K .......... .......... .......... .......... ..........  5%  366M 11s
  5700K .......... .......... .......... .......... ..........  5%  436M 11s
  5750K .......... .......... .......... .......... ..........  5%  440M 11s
  5800K .......... .......... .......... .......... ..........  5%  441M 11s
  5850K .......... .......... .......... .......... ..........  5%  380M 10s
  5900K .......... .......... .......... .......... ..........  5%  431M 10s
  5950K .......... .......... .......... .......... ..........  5% 5.66M 10s
  6000K .......... .......... .......... .......... ..........  5%  125M 10s
  6050K .......... .......... .......... .......... ..........  5%  115M 10s
  6100K .......... .......... .......... .......... ..........  6%  144M 10s
  6150K .......... .......... .......... .......... ..........  6%  186M 10s
  6200K .......... .......... .......... .......... ..........  6%  160M 10s
  6250K .......... .......... .......... .......... ..........  6%  114M 10s
  6300K .......... .......... .......... .......... ..........  6% 4.84M 10s
  6350K .......... .......... .......... .......... ..........  6%  433M 10s
  6400K .......... .......... .......... .......... ..........  6% 17.3M 10s
  6450K .......... .......... .......... .......... ..........  6%  124M 10s
  6500K .......... .......... .......... .......... ..........  6%  104M 10s
  6550K .......... .......... .......... .......... ..........  6%  148M 10s
  6600K .......... .......... .......... .......... ..........  6% 57.1M 10s
  6650K .......... .......... .......... .......... ..........  6%  134M 10s
  6700K .......... .......... .......... .......... ..........  6%  191M 9s
  6750K .......... .......... .......... .......... ..........  6% 5.36M 9s
  6800K .......... .......... .......... .......... ..........  6% 4.62M 10s
  6850K .......... .......... .......... .......... ..........  6%  269M 9s
  6900K .......... .......... .......... .......... ..........  6%  289M 9s
  6950K .......... .......... .......... .......... ..........  6% 56.2M 9s
  7000K .......... .......... .......... .......... ..........  6%  244M 9s
  7050K .......... .......... .......... .......... ..........  6%  385M 9s
  7100K .......... .......... .......... .......... ..........  6% 10.4M 9s
  7150K .......... .......... .......... .......... ..........  7%  350M 9s
  7200K .......... .......... .......... .......... ..........  7%  236M 9s
  7250K .......... .......... .......... .......... ..........  7%  361M 9s
  7300K .......... .......... .......... .......... ..........  7%  362M 9s
  7350K .......... .......... .......... .......... ..........  7%  376M 9s
  7400K .......... .......... .......... .......... ..........  7%  288M 9s
  7450K .......... .......... .......... .......... ..........  7%  383M 9s
  7500K .......... .......... .......... .......... ..........  7%  292M 9s
  7550K .......... .......... .......... .......... ..........  7%  372M 9s
  7600K .......... .......... .......... .......... ..........  7%  310M 9s
  7650K .......... .......... .......... .......... ..........  7%  382M 9s
  7700K .......... .......... .......... .......... ..........  7%  338M 8s
  7750K .......... .......... .......... .......... ..........  7%  373M 8s
  7800K .......... .......... .......... .......... ..........  7%  223M 8s
  7850K .......... .......... .......... .......... ..........  7%  372M 8s
  7900K .......... .......... .......... .......... ..........  7%  347M 8s
  7950K .......... .......... .......... .......... ..........  7%  394M 8s
  8000K .......... .......... .......... .......... ..........  7%  339M 8s
  8050K .......... .......... .......... .......... ..........  7%  392M 8s
  8100K .......... .......... .......... .......... ..........  7% 6.50M 8s
  8150K .......... .......... .......... .......... ..........  8% 74.8M 8s
  8200K .......... .......... .......... .......... ..........  8%  250M 8s
  8250K .......... .......... .......... .......... ..........  8%  385M 8s
  8300K .......... .......... .......... .......... ..........  8%  393M 8s
  8350K .......... .......... .......... .......... ..........  8%  392M 8s
  8400K .......... .......... .......... .......... ..........  8%  220M 8s
  8450K .......... .......... .......... .......... ..........  8% 10.0M 8s
  8500K .......... .......... .......... .......... ..........  8%  217M 8s
  8550K .......... .......... .......... .......... ..........  8% 18.7M 8s
  8600K .......... .......... .......... .......... ..........  8% 17.1M 8s
  8650K .......... .......... .......... .......... ..........  8%  117M 8s
  8700K .......... .......... .......... .......... ..........  8%  113M 8s
  8750K .......... .......... .......... .......... ..........  8% 75.4M 8s
  8800K .......... .......... .......... .......... ..........  8% 16.6M 8s
  8850K .......... .......... .......... .......... ..........  8%  389M 8s
  8900K .......... .......... .......... .......... ..........  8%  399M 8s
  8950K .......... .......... .......... .......... ..........  8%  342M 7s
  9000K .......... .......... .......... .......... ..........  8%  368M 7s
  9050K .......... .......... .......... .......... ..........  8% 7.17M 7s
  9100K .......... .......... .......... .......... ..........  8% 78.8M 7s
  9150K .......... .......... .......... .......... ..........  8%  101M 7s
  9200K .......... .......... .......... .......... ..........  9% 71.2M 7s
  9250K .......... .......... .......... .......... ..........  9% 16.6M 7s
  9300K .......... .......... .......... .......... ..........  9%  106M 7s
  9350K .......... .......... .......... .......... ..........  9%  288M 7s
  9400K .......... .......... .......... .......... ..........  9%  340M 7s
  9450K .......... .......... .......... .......... ..........  9%  341M 7s
  9500K .......... .......... .......... .......... ..........  9%  391M 7s
  9550K .......... .......... .......... .......... ..........  9% 11.7M 7s
  9600K .......... .......... .......... .......... ..........  9%  300M 7s
  9650K .......... .......... .......... .......... ..........  9%  101M 7s
  9700K .......... .......... .......... .......... ..........  9% 66.3M 7s
  9750K .......... .......... .......... .......... ..........  9%  336M 7s
  9800K .......... .......... .......... .......... ..........  9%  310M 7s
  9850K .......... .......... .......... .......... ..........  9%  345M 7s
  9900K .......... .......... .......... .......... ..........  9%  401M 7s
  9950K .......... .......... .......... .......... ..........  9% 10.1M 7s
 10000K .......... .......... .......... .......... ..........  9%  137M 7s
 10050K .......... .......... .......... .......... ..........  9% 95.1M 7s
 10100K .......... .......... .......... .......... ..........  9% 72.4M 7s
 10150K .......... .......... .......... .......... ..........  9%  117M 7s
 10200K .......... .......... .......... .......... .......... 10% 89.0M 7s
 10250K .......... .......... .......... .......... .......... 10% 7.11M 7s
 10300K .......... .......... .......... .......... .......... 10% 46.9M 7s
 10350K .......... .......... .......... .......... .......... 10%  108M 7s
 10400K .......... .......... .......... .......... .......... 10%  135M 7s
 10450K .......... .......... .......... .......... .......... 10%  127M 7s
 10500K .......... .......... .......... .......... .......... 10%  130M 7s
 10550K .......... .......... .......... .......... .......... 10%  121M 7s
 10600K .......... .......... .......... .......... .......... 10%  112M 7s
 10650K .......... .......... .......... .......... .......... 10% 21.5M 6s
 10700K .......... .......... .......... .......... .......... 10% 17.6M 6s
 10750K .......... .......... .......... .......... .......... 10% 13.8M 6s
 10800K .......... .......... .......... .......... .......... 10% 64.8M 6s
 10850K .......... .......... .......... .......... .......... 10% 20.1M 6s
 10900K .......... .......... .......... .......... .......... 10% 61.6M 6s
 10950K .......... .......... .......... .......... .......... 10%  147M 6s
 11000K .......... .......... .......... .......... .......... 10%  355M 6s
 11050K .......... .......... .......... .......... .......... 10%  400M 6s
 11100K .......... .......... .......... .......... .......... 10% 27.3M 6s
 11150K .......... .......... .......... .......... .......... 10%  144M 6s
 11200K .......... .......... .......... .......... .......... 10%  309M 6s
 11250K .......... .......... .......... .......... .......... 11%  395M 6s
 11300K .......... .......... .......... .......... .......... 11% 13.3M 6s
 11350K .......... .......... .......... .......... .......... 11% 23.3M 6s
 11400K .......... .......... .......... .......... .......... 11% 87.3M 6s
 11450K .......... .......... .......... .......... .......... 11%  101M 6s
 11500K .......... .......... .......... .......... .......... 11% 78.1M 6s
 11550K .......... .......... .......... .......... .......... 11% 48.7M 6s
 11600K .......... .......... .......... .......... .......... 11% 16.5M 6s
 11650K .......... .......... .......... .......... .......... 11% 87.0M 6s
 11700K .......... .......... .......... .......... .......... 11% 15.3M 6s
 11750K .......... .......... .......... .......... .......... 11%  268M 6s
 11800K .......... .......... .......... .......... .......... 11%  146M 6s
 11850K .......... .......... .......... .......... .......... 11%  119M 6s
 11900K .......... .......... .......... .......... .......... 11%  119M 6s
 11950K .......... .......... .......... .......... .......... 11% 22.0M 6s
 12000K .......... .......... .......... .......... .......... 11% 92.7M 6s
 12050K .......... .......... .......... .......... .......... 11%  352M 6s
 12100K .......... .......... .......... .......... .......... 11%  388M 6s
 12150K .......... .......... .......... .......... .......... 11%  339M 6s
 12200K .......... .......... .......... .......... .......... 11%  399M 6s
 12250K .......... .......... .......... .......... .......... 12% 17.0M 6s
 12300K .......... .......... .......... .......... .......... 12%  109M 6s
 12350K .......... .......... .......... .......... .......... 12% 68.8M 6s
 12400K .......... .......... .......... .......... .......... 12% 79.1M 6s
 12450K .......... .......... .......... .......... .......... 12% 22.0M 6s
 12500K .......... .......... .......... .......... .......... 12%  210M 6s
 12550K .......... .......... .......... .......... .......... 12% 4.84M 6s
 12600K .......... .......... .......... .......... .......... 12%  248M 6s
 12650K .......... .......... .......... .......... .......... 12%  383M 6s
 12700K .......... .......... .......... .......... .......... 12%  402M 6s
 12750K .......... .......... .......... .......... .......... 12%  338M 6s
 12800K .......... .......... .......... .......... .......... 12%  399M 6s
 12850K .......... .......... .......... .......... .......... 12%  403M 6s
 12900K .......... .......... .......... .......... .......... 12%  404M 6s
 12950K .......... .......... .......... .......... .......... 12%  348M 6s
 13000K .......... .......... .......... .......... .......... 12%  104M 6s
 13050K .......... .......... .......... .......... .......... 12% 13.9M 6s
 13100K .......... .......... .......... .......... .......... 12% 15.8M 6s
 13150K .......... .......... .......... .......... .......... 12%  383M 6s
 13200K .......... .......... .......... .......... .......... 12%  305M 5s
 13250K .......... .......... .......... .......... .......... 12% 37.7M 5s
 13300K .......... .......... .......... .......... .......... 13%  117M 5s
 13350K .......... .......... .......... .......... .......... 13% 43.7M 5s
 13400K .......... .......... .......... .......... .......... 13%  116M 5s
 13450K .......... .......... .......... .......... .......... 13%  334M 5s
 13500K .......... .......... .......... .......... .......... 13% 7.37M 5s
 13550K .......... .......... .......... .......... .......... 13%  134M 5s
 13600K .......... .......... .......... .......... .......... 13% 57.9M 5s
 13650K .......... .......... .......... .......... .......... 13% 19.4M 5s
 13700K .......... .......... .......... .......... .......... 13% 91.5M 5s
 13750K .......... .......... .......... .......... .......... 13%  295M 5s
 13800K .......... .......... .......... .......... .......... 13%  342M 5s
 13850K .......... .......... .......... .......... .......... 13%  393M 5s
 13900K .......... .......... .......... .......... .......... 13%  396M 5s
 13950K .......... .......... .......... .......... .......... 13%  397M 5s
 14000K .......... .......... .......... .......... .......... 13%  344M 5s
 14050K .......... .......... .......... .......... .......... 13%  399M 5s
 14100K .......... .......... .......... .......... .......... 13% 9.99M 5s
 14150K .......... .......... .......... .......... .......... 13%  299M 5s
 14200K .......... .......... .......... .......... .......... 13%  329M 5s
 14250K .......... .......... .......... .......... .......... 13%  395M 5s
 14300K .......... .......... .......... .......... .......... 14%  384M 5s
 14350K .......... .......... .......... .......... .......... 14%  398M 5s
 14400K .......... .......... .......... .......... .......... 14%  344M 5s
 14450K .......... .......... .......... .......... .......... 14%  244M 5s
 14500K .......... .......... .......... .......... .......... 14%  122M 5s
 14550K .......... .......... .......... .......... .......... 14% 96.5M 5s
 14600K .......... .......... .......... .......... .......... 14%  132M 5s
 14650K .......... .......... .......... .......... .......... 14% 6.16M 5s
 14700K .......... .......... .......... .......... .......... 14%  388M 5s
 14750K .......... .......... .......... .......... .......... 14%  395M 5s
 14800K .......... .......... .......... .......... .......... 14%  403M 5s
 14850K .......... .......... .......... .......... .......... 14%  342M 5s
 14900K .......... .......... .......... .......... .......... 14%  399M 5s
 14950K .......... .......... .......... .......... .......... 14%  380M 5s
 15000K .......... .......... .......... .......... .......... 14%  401M 5s
 15050K .......... .......... .......... .......... .......... 14% 8.55M 5s
 15100K .......... .......... .......... .......... .......... 14% 5.27M 5s
 15150K .......... .......... .......... .......... .......... 14%  103M 5s
 15200K .......... .......... .......... .......... .......... 14%  149M 5s
 15250K .......... .......... .......... .......... .......... 14% 7.09M 5s
 15300K .......... .......... .......... .......... .......... 14% 78.0M 5s
 15350K .......... .......... .......... .......... .......... 15%  115M 5s
 15400K .......... .......... .......... .......... .......... 15%  326M 5s
 15450K .......... .......... .......... .......... .......... 15%  381M 5s
 15500K .......... .......... .......... .......... .......... 15% 22.4M 5s
 15550K .......... .......... .......... .......... .......... 15%  373M 5s
 15600K .......... .......... .......... .......... .......... 15%  329M 5s
 15650K .......... .......... .......... .......... .......... 15%  381M 5s
 15700K .......... .......... .......... .......... .......... 15%  360M 5s
 15750K .......... .......... .......... .......... .......... 15%  377M 5s
 15800K .......... .......... .......... .......... .......... 15%  341M 5s
 15850K .......... .......... .......... .......... .......... 15%  394M 5s
 15900K .......... .......... .......... .......... .......... 15%  396M 5s
 15950K .......... .......... .......... .......... .......... 15%  397M 5s
 16000K .......... .......... .......... .......... .......... 15%  330M 5s
 16050K .......... .......... .......... .......... .......... 15% 7.49M 5s
 16100K .......... .......... .......... .......... .......... 15% 69.3M 5s
 16150K .......... .......... .......... .......... .......... 15% 77.0M 5s
 16200K .......... .......... .......... .......... .......... 15%  299M 5s
 16250K .......... .......... .......... .......... .......... 15%  397M 5s
 16300K .......... .......... .......... .......... .......... 15%  338M 5s
 16350K .......... .......... .......... .......... .......... 16%  400M 5s
 16400K .......... .......... .......... .......... .......... 16%  399M 5s
 16450K .......... .......... .......... .......... .......... 16% 18.5M 5s
 16500K .......... .......... .......... .......... .......... 16%  303M 5s
 16550K .......... .......... .......... .......... .......... 16%  377M 5s
 16600K .......... .......... .......... .......... .......... 16%  397M 5s
 16650K .......... .......... .......... .......... .......... 16%  399M 5s
 16700K .......... .......... .......... .......... .......... 16% 60.3M 5s
 16750K .......... .......... .......... .......... .......... 16% 6.90M 5s
 16800K .......... .......... .......... .......... .......... 16%  270M 5s
 16850K .......... .......... .......... .......... .......... 16%  336M 5s
 16900K .......... .......... .......... .......... .......... 16%  289M 5s
 16950K .......... .......... .......... .......... .......... 16%  370M 4s
 17000K .......... .......... .......... .......... .......... 16%  295M 4s
 17050K .......... .......... .......... .......... .......... 16%  356M 4s
 17100K .......... .......... .......... .......... .......... 16%  217M 4s
 17150K .......... .......... .......... .......... .......... 16%  312M 4s
 17200K .......... .......... .......... .......... .......... 16%  338M 4s
 17250K .......... .......... .......... .......... .......... 16% 17.5M 4s
 17300K .......... .......... .......... .......... .......... 16% 48.8M 4s
 17350K .......... .......... .......... .......... .......... 16% 78.2M 4s
 17400K .......... .......... .......... .......... .......... 17%  205M 4s
 17450K .......... .......... .......... .......... .......... 17%  349M 4s
 17500K .......... .......... .......... .......... .......... 17%  342M 4s
 17550K .......... .......... .......... .......... .......... 17%  399M 4s
 17600K .......... .......... .......... .......... .......... 17%  396M 4s
 17650K .......... .......... .......... .......... .......... 17% 2.92M 4s
 17700K .......... .......... .......... .......... .......... 17%  301M 4s
 17750K .......... .......... .......... .......... .......... 17%  389M 4s
 17800K .......... .......... .......... .......... .......... 17%  390M 4s
 17850K .......... .......... .......... .......... .......... 17%  338M 4s
 17900K .......... .......... .......... .......... .......... 17%  391M 4s
 17950K .......... .......... .......... .......... .......... 17%  395M 4s
 18000K .......... .......... .......... .......... .......... 17%  378M 4s
 18050K .......... .......... .......... .......... .......... 17%  342M 4s
 18100K .......... .......... .......... .......... .......... 17%  393M 4s
 18150K .......... .......... .......... .......... .......... 17%  397M 4s
 18200K .......... .......... .......... .......... .......... 17%  402M 4s
 18250K .......... .......... .......... .......... .......... 17%  336M 4s
 18300K .......... .......... .......... .......... .......... 17% 5.11M 4s
 18350K .......... .......... .......... .......... .......... 17%  312M 4s
 18400K .......... .......... .......... .......... .......... 18%  334M 4s
 18450K .......... .......... .......... .......... .......... 18%  355M 4s
 18500K .......... .......... .......... .......... .......... 18%  320M 4s
 18550K .......... .......... .......... .......... .......... 18%  345M 4s
 18600K .......... .......... .......... .......... .......... 18%  383M 4s
 18650K .......... .......... .......... .......... .......... 18% 17.5M 4s
 18700K .......... .......... .......... .......... .......... 18% 79.6M 4s
 18750K .......... .......... .......... .......... .......... 18% 89.9M 4s
 18800K .......... .......... .......... .......... .......... 18%  108M 4s
 18850K .......... .......... .......... .......... .......... 18% 74.9M 4s
 18900K .......... .......... .......... .......... .......... 18% 13.5M 4s
 18950K .......... .......... .......... .......... .......... 18%  321M 4s
 19000K .......... .......... .......... .......... .......... 18%  364M 4s
 19050K .......... .......... .......... .......... .......... 18%  394M 4s
 19100K .......... .......... .......... .......... .......... 18%  342M 4s
 19150K .......... .......... .......... .......... .......... 18%  397M 4s
 19200K .......... .......... .......... .......... .......... 18%  398M 4s
 19250K .......... .......... .......... .......... .......... 18% 10.1M 4s
 19300K .......... .......... .......... .......... .......... 18%  335M 4s
 19350K .......... .......... .......... .......... .......... 18%  399M 4s
 19400K .......... .......... .......... .......... .......... 18%  135M 4s
 19450K .......... .......... .......... .......... .......... 19%  103M 4s
 19500K .......... .......... .......... .......... .......... 19% 75.1M 4s
 19550K .......... .......... .......... .......... .......... 19% 77.8M 4s
 19600K .......... .......... .......... .......... .......... 19%  112M 4s
 19650K .......... .......... .......... .......... .......... 19% 8.76M 4s
 19700K .......... .......... .......... .......... .......... 19% 62.6M 4s
 19750K .......... .......... .......... .......... .......... 19%  158M 4s
 19800K .......... .......... .......... .......... .......... 19%  348M 4s
 19850K .......... .......... .......... .......... .......... 19%  368M 4s
 19900K .......... .......... .......... .......... .......... 19%  341M 4s
 19950K .......... .......... .......... .......... .......... 19%  389M 4s
 20000K .......... .......... .......... .......... .......... 19%  397M 4s
 20050K .......... .......... .......... .......... .......... 19%  397M 4s
 20100K .......... .......... .......... .......... .......... 19%  342M 4s
 20150K .......... .......... .......... .......... .......... 19%  395M 4s
 20200K .......... .......... .......... .......... .......... 19%  397M 4s
 20250K .......... .......... .......... .......... .......... 19%  402M 4s
 20300K .......... .......... .......... .......... .......... 19% 3.43M 4s
 20350K .......... .......... .......... .......... .......... 19%  123M 4s
 20400K .......... .......... .......... .......... .......... 19% 76.0M 4s
 20450K .......... .......... .......... .......... .......... 20%  110M 4s
 20500K .......... .......... .......... .......... .......... 20% 77.4M 4s
 20550K .......... .......... .......... .......... .......... 20% 23.9M 4s
 20600K .......... .......... .......... .......... .......... 20% 50.7M 4s
 20650K .......... .......... .......... .......... .......... 20%  121M 4s
 20700K .......... .......... .......... .......... .......... 20%  114M 4s
 20750K .......... .......... .......... .......... .......... 20%  350M 4s
 20800K .......... .......... .......... .......... .......... 20%  338M 4s
 20850K .......... .......... .......... .......... .......... 20% 6.90M 4s
 20900K .......... .......... .......... .......... .......... 20%  104M 4s
 20950K .......... .......... .......... .......... .......... 20% 10.2M 4s
 21000K .......... .......... .......... .......... .......... 20% 92.0M 4s
 21050K .......... .......... .......... .......... .......... 20%  376M 4s
 21100K .......... .......... .......... .......... .......... 20%  404M 4s
 21150K .......... .......... .......... .......... .......... 20%  455M 4s
 21200K .......... .......... .......... .......... .......... 20%  382M 4s
 21250K .......... .......... .......... .......... .......... 20%  441M 4s
 21300K .......... .......... .......... .......... .......... 20%  340M 4s
 21350K .......... .......... .......... .......... .......... 20%  106M 4s
 21400K .......... .......... .......... .......... .......... 20%  141M 4s
 21450K .......... .......... .......... .......... .......... 20%  137M 4s
 21500K .......... .......... .......... .......... .......... 21%  118M 4s
 21550K .......... .......... .......... .......... .......... 21%  131M 4s
 21600K .......... .......... .......... .......... .......... 21%  137M 4s
 21650K .......... .......... .......... .......... .......... 21% 7.51M 4s
 21700K .......... .......... .......... .......... .......... 21%  120M 4s
 21750K .......... .......... .......... .......... .......... 21%  115M 4s
 21800K .......... .......... .......... .......... .......... 21% 18.7M 4s
 21850K .......... .......... .......... .......... .......... 21%  439M 4s
 21900K .......... .......... .......... .......... .......... 21%  440M 4s
 21950K .......... .......... .......... .......... .......... 21%  186M 4s
 22000K .......... .......... .......... .......... .......... 21%  278M 4s
 22050K .......... .......... .......... .......... .......... 21%  401M 4s
 22100K .......... .......... .......... .......... .......... 21%  440M 4s
 22150K .......... .......... .......... .......... .......... 21%  451M 4s
 22200K .......... .......... .......... .......... .......... 21%  390M 4s
 22250K .......... .......... .......... .......... .......... 21%  447M 4s
 22300K .......... .......... .......... .......... .......... 21%  456M 4s
 22350K .......... .......... .......... .......... .......... 21%  457M 4s
 22400K .......... .......... .......... .......... .......... 21%  393M 4s
 22450K .......... .......... .......... .......... .......... 21%  455M 4s
 22500K .......... .......... .......... .......... .......... 22% 17.7M 4s
 22550K .......... .......... .......... .......... .......... 22%  140M 4s
 22600K .......... .......... .......... .......... .......... 22% 57.5M 4s
 22650K .......... .......... .......... .......... .......... 22%  333M 4s
 22700K .......... .......... .......... .......... .......... 22%  460M 4s
 22750K .......... .......... .......... .......... .......... 22%  465M 4s
