--2017-05-05 02:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
  2000K .......... .......... .......... .......... ..........  2%  153M 18s
  2050K .......... .......... .......... .......... ..........  2%  129M 18s
  2100K .......... .......... .......... .......... ..........  2% 26.0M 18s
  2150K .......... .......... .......... .......... ..........  2%  127M 17s
  2200K .......... .......... .......... .......... ..........  2%  128M 17s
  2250K .......... .......... .......... .......... ..........  2%  166M 17s
  2300K .......... .......... .......... .......... ..........  2%  207M 16s
  2350K .......... .......... .......... .......... ..........  2%  149M 16s
  2400K .......... .......... .......... .......... ..........  2% 89.7M 16s
  2450K .......... .......... .......... .......... ..........  2% 18.1M 15s
  2500K .......... .......... .......... .......... ..........  2% 1.59M 16s
  2550K .......... .......... .......... .......... ..........  2%  144M 16s
  2600K .......... .......... .......... .......... ..........  2%  107M 16s
  2650K .......... .......... .......... .......... ..........  2% 89.5M 15s
  2700K .......... .......... .......... .......... ..........  2% 9.47M 15s
  2750K .......... .......... .......... .......... ..........  2%  154M 15s
  2800K .......... .......... .......... .......... ..........  2% 94.5M 15s
  2850K .......... .......... .......... .......... ..........  2%  137M 14s
  2900K .......... .......... .......... .......... ..........  2% 97.8M 14s
  2950K .......... .......... .......... .......... ..........  2% 96.9M 14s
  3000K .......... .......... .......... .......... ..........  2%  144M 14s
  3050K .......... .......... .......... .......... ..........  3%  118M 14s
  3100K .......... .......... .......... .......... ..........  3%  113M 13s
  3150K .......... .......... .......... .......... ..........  3% 89.5M 13s
  3200K .......... .......... .......... .......... ..........  3% 52.3M 13s
  3250K .......... .......... .......... .......... ..........  3%  160M 13s
  3300K .......... .......... .......... .......... ..........  3%  131M 13s
  3350K .......... .......... .......... .......... ..........  3%  101M 12s
  3400K .......... .......... .......... .......... ..........  3%  232M 12s
  3450K .......... .......... .......... .......... ..........  3%  169M 12s
  3500K .......... .......... .......... .......... ..........  3%  102M 12s
  3550K .......... .......... .......... .......... ..........  3%  122M 12s
  3600K .......... .......... .......... .......... ..........  3%  110M 12s
  3650K .......... .......... .......... .......... ..........  3% 8.45M 12s
  3700K .......... .......... .......... .......... ..........  3%  171M 11s
  3750K .......... .......... .......... .......... ..........  3%  144M 11s
  3800K .......... .......... .......... .......... ..........  3%  144M 11s
  3850K .......... .......... .......... .......... ..........  3%  160M 11s
  3900K .......... .......... .......... .......... ..........  3%  153M 11s
  3950K .......... .......... .......... .......... ..........  3%  166M 11s
  4000K .......... .......... .......... .......... ..........  3%  222M 11s
  4050K .......... .......... .......... .......... ..........  4%  153M 10s
  4100K .......... .......... .......... .......... ..........  4%  139M 10s
  4150K .......... .......... .......... .......... ..........  4%  451M 10s
  4200K .......... .......... .......... .......... ..........  4%  457M 10s
  4250K .......... .......... .......... .......... ..........  4%  392M 10s
  4300K .......... .......... .......... .......... ..........  4%  457M 10s
  4350K .......... .......... .......... .......... ..........  4% 2.00M 10s
  4400K .......... .......... .......... .......... ..........  4%  148M 10s
  4450K .......... .......... .......... .......... ..........  4%  139M 10s
  4500K .......... .......... .......... .......... ..........  4%  161M 10s
  4550K .......... .......... .......... .......... ..........  4%  148M 10s
  4600K .......... .......... .......... .......... ..........  4% 11.1M 10s
  4650K .......... .......... .......... .......... ..........  4% 99.8M 10s
  4700K .......... .......... .......... .......... ..........  4% 82.6M 10s
  4750K .......... .......... .......... .......... ..........  4% 91.8M 10s
  4800K .......... .......... .......... .......... ..........  4% 65.0M 9s
  4850K .......... .......... .......... .......... ..........  4% 9.98M 9s
  4900K .......... .......... .......... .......... ..........  4% 93.3M 9s
  4950K .......... .......... .......... .......... ..........  4%  110M 9s
  5000K .......... .......... .......... .......... ..........  4%  128M 9s
  5050K .......... .......... .......... .......... ..........  4% 89.1M 9s
  5100K .......... .......... .......... .......... ..........  5%  139M 9s
  5150K .......... .......... .......... .......... ..........  5%  121M 9s
  5200K .......... .......... .......... .......... ..........  5% 11.3M 9s
  5250K .......... .......... .......... .......... ..........  5%  106M 9s
  5300K .......... .......... .......... .......... ..........  5%  106M 9s
  5350K .......... .......... .......... .......... ..........  5%  226M 9s
  5400K .......... .......... .......... .......... ..........  5%  146M 9s
  5450K .......... .......... .......... .......... ..........  5%  130M 9s
  5500K .......... .......... .......... .......... ..........  5%  165M 8s
  5550K .......... .......... .......... .......... ..........  5% 81.9M 8s
  5600K .......... .......... .......... .......... ..........  5%  138M 8s
  5650K .......... .......... .......... .......... ..........  5%  142M 8s
  5700K .......... .......... .......... .......... ..........  5%  165M 8s
  5750K .......... .......... .......... .......... ..........  5%  171M 8s
  5800K .......... .......... .......... .......... ..........  5% 5.74M 8s
  5850K .......... .......... .......... .......... ..........  5%  101M 8s
  5900K .......... .......... .......... .......... ..........  5%  187M 8s
  5950K .......... .......... .......... .......... ..........  5%  177M 8s
  6000K .......... .......... .......... .......... ..........  5%  128M 8s
  6050K .......... .......... .......... .......... ..........  5%  174M 8s
  6100K .......... .......... .......... .......... ..........  6%  257M 8s
  6150K .......... .......... .......... .......... ..........  6%  428M 8s
  6200K .......... .......... .......... .......... ..........  6%  397M 8s
  6250K .......... .......... .......... .......... ..........  6%  376M 8s
  6300K .......... .......... .......... .......... ..........  6%  430M 8s
  6350K .......... .......... .......... .......... ..........  6%  435M 7s
  6400K .......... .......... .......... .......... ..........  6%  422M 7s
  6450K .......... .......... .......... .......... ..........  6%  378M 7s
  6500K .......... .......... .......... .......... ..........  6%  437M 7s
  6550K .......... .......... .......... .......... ..........  6% 4.45M 7s
  6600K .......... .......... .......... .......... ..........  6% 59.4M 7s
  6650K .......... .......... .......... .......... ..........  6%  128M 7s
  6700K .......... .......... .......... .......... ..........  6%  127M 7s
  6750K .......... .......... .......... .......... ..........  6% 85.6M 7s
  6800K .......... .......... .......... .......... ..........  6% 12.8M 7s
  6850K .......... .......... .......... .......... ..........  6%  129M 7s
  6900K .......... .......... .......... .......... ..........  6% 67.7M 7s
  6950K .......... .......... .......... .......... ..........  6% 88.3M 7s
  7000K .......... .......... .......... .......... ..........  6% 64.6M 7s
  7050K .......... .......... .......... .......... ..........  6% 76.8M 7s
  7100K .......... .......... .......... .......... ..........  6% 70.9M 7s
  7150K .......... .......... .......... .......... ..........  7%  144M 7s
  7200K .......... .......... .......... .......... ..........  7% 13.2M 7s
  7250K .......... .......... .......... .......... ..........  7%  104M 7s
  7300K .......... .......... .......... .......... ..........  7%  106M 7s
  7350K .......... .......... .......... .......... ..........  7%  121M 7s
  7400K .......... .......... .......... .......... ..........  7% 95.9M 7s
  7450K .......... .......... .......... .......... ..........  7% 18.6M 7s
  7500K .......... .......... .......... .......... ..........  7%  131M 7s
  7550K .......... .......... .......... .......... ..........  7%  136M 7s
  7600K .......... .......... .......... .......... ..........  7%  158M 7s
  7650K .......... .......... .......... .......... ..........  7%  160M 6s
  7700K .......... .......... .......... .......... ..........  7%  146M 6s
  7750K .......... .......... .......... .......... ..........  7%  198M 6s
  7800K .......... .......... .......... .......... ..........  7%  166M 6s
  7850K .......... .......... .......... .......... ..........  7%  172M 6s
  7900K .......... .......... .......... .......... ..........  7%  144M 6s
  7950K .......... .......... .......... .......... ..........  7%  148M 6s
  8000K .......... .......... .......... .......... ..........  7%  181M 6s
  8050K .......... .......... .......... .......... ..........  7% 6.01M 6s
  8100K .......... .......... .......... .......... ..........  7% 98.6M 6s
  8150K .......... .......... .......... .......... ..........  8%  222M 6s
  8200K .......... .......... .......... .......... ..........  8%  172M 6s
  8250K .......... .......... .......... .......... ..........  8%  157M 6s
  8300K .......... .......... .......... .......... ..........  8%  162M 6s
  8350K .......... .......... .......... .......... ..........  8%  420M 6s
  8400K .......... .......... .......... .......... ..........  8%  430M 6s
  8450K .......... .......... .......... .......... ..........  8%  441M 6s
  8500K .......... .......... .......... .......... ..........  8%  352M 6s
  8550K .......... .......... .......... .......... ..........  8%  216M 6s
  8600K .......... .......... .......... .......... ..........  8%  444M 6s
  8650K .......... .......... .......... .......... ..........  8%  451M 6s
  8700K .......... .......... .......... .......... ..........  8%  396M 6s
  8750K .......... .......... .......... .......... ..........  8%  458M 6s
  8800K .......... .......... .......... .......... ..........  8%  460M 6s
  8850K .......... .......... .......... .......... ..........  8% 7.91M 6s
  8900K .......... .......... .......... .......... ..........  8%  440M 6s
  8950K .......... .......... .......... .......... ..........  8%  425M 6s
  9000K .......... .......... .......... .......... ..........  8%  264M 6s
  9050K .......... .......... .......... .......... ..........  8% 6.04M 6s
  9100K .......... .......... .......... .......... ..........  8% 58.8M 6s
  9150K .......... .......... .......... .......... ..........  8% 93.3M 6s
  9200K .......... .......... .......... .......... ..........  9%  123M 6s
  9250K .......... .......... .......... .......... ..........  9%  119M 6s
  9300K .......... .......... .......... .......... ..........  9% 78.8M 6s
  9350K .......... .......... .......... .......... ..........  9% 11.4M 6s
  9400K .......... .......... .......... .......... ..........  9%  141M 6s
  9450K .......... .......... .......... .......... ..........  9%  149M 6s
  9500K .......... .......... .......... .......... ..........  9%  325M 5s
  9550K .......... .......... .......... .......... ..........  9%  101M 5s
  9600K .......... .......... .......... .......... ..........  9%  104M 5s
  9650K .......... .......... .......... .......... ..........  9% 97.9M 5s
  9700K .......... .......... .......... .......... ..........  9% 34.8M 5s
  9750K .......... .......... .......... .......... ..........  9% 17.1M 5s
  9800K .......... .......... .......... .......... ..........  9%  115M 5s
  9850K .......... .......... .......... .......... ..........  9% 82.8M 5s
  9900K .......... .......... .......... .......... ..........  9%  123M 5s
  9950K .......... .......... .......... .......... ..........  9% 12.7M 5s
 10000K .......... .......... .......... .......... ..........  9%  151M 5s
 10050K .......... .......... .......... .......... ..........  9%  175M 5s
 10100K .......... .......... .......... .......... ..........  9%  129M 5s
 10150K .......... .......... .......... .......... ..........  9%  182M 5s
 10200K .......... .......... .......... .......... .......... 10%  190M 5s
 10250K .......... .......... .......... .......... .......... 10%  162M 5s
 10300K .......... .......... .......... .......... .......... 10% 76.0M 5s
 10350K .......... .......... .......... .......... .......... 10%  142M 5s
 10400K .......... .......... .......... .......... .......... 10%  142M 5s
 10450K .......... .......... .......... .......... .......... 10%  177M 5s
 10500K .......... .......... .......... .......... .......... 10% 11.5M 5s
 10550K .......... .......... .......... .......... .......... 10%  335M 5s
 10600K .......... .......... .......... .......... .......... 10%  424M 5s
 10650K .......... .......... .......... .......... .......... 10%  460M 5s
 10700K .......... .......... .......... .......... .......... 10%  395M 5s
 10750K .......... .......... .......... .......... .......... 10%  440M 5s
 10800K .......... .......... .......... .......... .......... 10% 18.5M 5s
 10850K .......... .......... .......... .......... .......... 10%  154M 5s
 10900K .......... .......... .......... .......... .......... 10% 25.3M 5s
 10950K .......... .......... .......... .......... .......... 10%  152M 5s
 11000K .......... .......... .......... .......... .......... 10%  162M 5s
 11050K .......... .......... .......... .......... .......... 10%  184M 5s
 11100K .......... .......... .......... .......... .......... 10%  219M 5s
 11150K .......... .......... .......... .......... .......... 10%  178M 5s
 11200K .......... .......... .......... .......... .......... 10%  161M 5s
 11250K .......... .......... .......... .......... .......... 11%  160M 5s
 11300K .......... .......... .......... .......... .......... 11%  139M 5s
 11350K .......... .......... .......... .......... .......... 11% 8.16M 5s
 11400K .......... .......... .......... .......... .......... 11%  365M 5s
 11450K .......... .......... .......... .......... .......... 11%  448M 5s
 11500K .......... .......... .......... .......... .......... 11%  386M 5s
 11550K .......... .......... .......... .......... .......... 11%  447M 5s
 11600K .......... .......... .......... .......... .......... 11%  457M 5s
 11650K .......... .......... .......... .......... .......... 11%  457M 5s
 11700K .......... .......... .......... .......... .......... 11%  397M 5s
 11750K .......... .......... .......... .......... .......... 11%  462M 5s
 11800K .......... .......... .......... .......... .......... 11% 7.94M 5s
 11850K .......... .......... .......... .......... .......... 11% 52.3M 5s
 11900K .......... .......... .......... .......... .......... 11%  137M 5s
 11950K .......... .......... .......... .......... .......... 11% 56.8M 5s
 12000K .......... .......... .......... .......... .......... 11%  168M 5s
 12050K .......... .......... .......... .......... .......... 11%  204M 5s
 12100K .......... .......... .......... .......... .......... 11% 74.6M 5s
 12150K .......... .......... .......... .......... .......... 11% 12.3M 5s
 12200K .......... .......... .......... .......... .......... 11%  153M 4s
 12250K .......... .......... .......... .......... .......... 12%  185M 4s
 12300K .......... .......... .......... .......... .......... 12%  134M 4s
 12350K .......... .......... .......... .......... .......... 12% 16.4M 4s
 12400K .......... .......... .......... .......... .......... 12%  422M 4s
 12450K .......... .......... .......... .......... .......... 12%  362M 4s
 12500K .......... .......... .......... .......... .......... 12%  458M 4s
 12550K .......... .......... .......... .......... .......... 12%  455M 4s
 12600K .......... .......... .......... .......... .......... 12% 27.0M 4s
 12650K .......... .......... .......... .......... .......... 12%  105M 4s
 12700K .......... .......... .......... .......... .......... 12% 72.7M 4s
 12750K .......... .......... .......... .......... .......... 12%  151M 4s
 12800K .......... .......... .......... .......... .......... 12%  124M 4s
 12850K .......... .......... .......... .......... .......... 12% 15.9M 4s
 12900K .......... .......... .......... .......... .......... 12% 75.9M 4s
 12950K .......... .......... .......... .......... .......... 12% 97.4M 4s
 13000K .......... .......... .......... .......... .......... 12%  106M 4s
 13050K .......... .......... .......... .......... .......... 12% 69.6M 4s
 13100K .......... .......... .......... .......... .......... 12%  109M 4s
 13150K .......... .......... .......... .......... .......... 12%  166M 4s
 13200K .......... .......... .......... .......... .......... 12% 25.5M 4s
 13250K .......... .......... .......... .......... .......... 12%  137M 4s
 13300K .......... .......... .......... .......... .......... 13%  155M 4s
 13350K .......... .......... .......... .......... .......... 13%  146M 4s
 13400K .......... .......... .......... .......... .......... 13%  134M 4s
 13450K .......... .......... .......... .......... .......... 13%  165M 4s
 13500K .......... .......... .......... .......... .......... 13% 11.9M 4s
 13550K .......... .......... .......... .......... .......... 13%  159M 4s
 13600K .......... .......... .......... .......... .......... 13%  145M 4s
 13650K .......... .......... .......... .......... .......... 13%  167M 4s
 13700K .......... .......... .......... .......... .......... 13%  168M 4s
 13750K .......... .......... .......... .......... .......... 13%  152M 4s
 13800K .......... .......... .......... .......... .......... 13%  156M 4s
 13850K .......... .......... .......... .......... .......... 13% 6.15M 4s
 13900K .......... .......... .......... .......... .......... 13%  428M 4s
 13950K .......... .......... .......... .......... .......... 13%  263M 4s
 14000K .......... .......... .......... .......... .......... 13%  427M 4s
 14050K .......... .......... .......... .......... .......... 13%  325M 4s
 14100K .......... .......... .......... .......... .......... 13%  365M 4s
 14150K .......... .......... .......... .......... .......... 13%  336M 4s
 14200K .......... .......... .......... .......... .......... 13%  455M 4s
 14250K .......... .......... .......... .......... .......... 13%  152M 4s
 14300K .......... .......... .......... .......... .......... 14%  133M 4s
 14350K .......... .......... .......... .......... .......... 14%  135M 4s
 14400K .......... .......... .......... .......... .......... 14%  147M 4s
 14450K .......... .......... .......... .......... .......... 14%  151M 4s
 14500K .......... .......... .......... .......... .......... 14%  160M 4s
 14550K .......... .......... .......... .......... .......... 14% 8.73M 4s
 14600K .......... .......... .......... .......... .......... 14%  130M 4s
 14650K .......... .......... .......... .......... .......... 14%  121M 4s
 14700K .......... .......... .......... .......... .......... 14%  116M 4s
 14750K .......... .......... .......... .......... .......... 14%  198M 4s
 14800K .......... .......... .......... .......... .......... 14%  148M 4s
 14850K .......... .......... .......... .......... .......... 14%  175M 4s
 14900K .......... .......... .......... .......... .......... 14%  192M 4s
 14950K .......... .......... .......... .......... .......... 14%  178M 4s
 15000K .......... .......... .......... .......... .......... 14% 9.16M 4s
 15050K .......... .......... .......... .......... .......... 14%  144M 4s
 15100K .......... .......... .......... .......... .......... 14% 96.9M 4s
 15150K .......... .......... .......... .......... .......... 14%  176M 4s
 15200K .......... .......... .......... .......... .......... 14%  162M 4s
 15250K .......... .......... .......... .......... .......... 14%  275M 4s
 15300K .......... .......... .......... .......... .......... 14%  453M 4s
 15350K .......... .......... .......... .......... .......... 15%  457M 4s
 15400K .......... .......... .......... .......... .......... 15% 10.6M 4s
 15450K .......... .......... .......... .......... .......... 15% 98.8M 4s
 15500K .......... .......... .......... .......... .......... 15%  180M 4s
 15550K .......... .......... .......... .......... .......... 15%  209M 4s
 15600K .......... .......... .......... .......... .......... 15%  164M 4s
 15650K .......... .......... .......... .......... .......... 15% 5.81M 4s
 15700K .......... .......... .......... .......... .......... 15%  141M 4s
 15750K .......... .......... .......... .......... .......... 15%  162M 4s
 15800K .......... .......... .......... .......... .......... 15%  346M 4s
 15850K .......... .......... .......... .......... .......... 15%  380M 4s
 15900K .......... .......... .......... .......... .......... 15%  458M 4s
 15950K .......... .......... .......... .......... .......... 15%  463M 4s
 16000K .......... .......... .......... .......... .......... 15%  458M 4s
 16050K .......... .......... .......... .......... .......... 15%  390M 4s
 16100K .......... .......... .......... .......... .......... 15% 12.3M 4s
 16150K .......... .......... .......... .......... .......... 15%  198M 4s
 16200K .......... .......... .......... .......... .......... 15%  116M 4s
 16250K .......... .......... .......... .......... .......... 15% 11.0M 4s
 16300K .......... .......... .......... .......... .......... 15% 11.9M 4s
 16350K .......... .......... .......... .......... .......... 16%  116M 4s
 16400K .......... .......... .......... .......... .......... 16% 85.8M 4s
 16450K .......... .......... .......... .......... .......... 16%  146M 4s
 16500K .......... .......... .......... .......... .......... 16% 95.6M 4s
 16550K .......... .......... .......... .......... .......... 16% 56.3M 4s
 16600K .......... .......... .......... .......... .......... 16% 69.4M 4s
 16650K .......... .......... .......... .......... .......... 16% 45.8M 4s
 16700K .......... .......... .......... .......... .......... 16%  387M 4s
 16750K .......... .......... .......... .......... .......... 16% 12.1M 4s
 16800K .......... .......... .......... .......... .......... 16%  140M 4s
 16850K .......... .......... .......... .......... .......... 16% 90.3M 4s
 16900K .......... .......... .......... .......... .......... 16%  102M 4s
 16950K .......... .......... .......... .......... .......... 16%  146M 4s
 17000K .......... .......... .......... .......... .......... 16%  101M 4s
 17050K .......... .......... .......... .......... .......... 16% 54.8M 3s
 17100K .......... .......... .......... .......... .......... 16%  170M 3s
 17150K .......... .......... .......... .......... .......... 16%  131M 3s
 17200K .......... .......... .......... .......... .......... 16% 10.2M 3s
 17250K .......... .......... .......... .......... .......... 16%  136M 3s
 17300K .......... .......... .......... .......... .......... 16%  153M 3s
 17350K .......... .......... .......... .......... .......... 16%  175M 3s
 17400K .......... .......... .......... .......... .......... 17%  110M 3s
 17450K .......... .......... .......... .......... .......... 17% 22.8M 3s
 17500K .......... .......... .......... .......... .......... 17%  307M 3s
 17550K .......... .......... .......... .......... .......... 17%  391M 3s
 17600K .......... .......... .......... .......... .......... 17% 22.0M 3s
 17650K .......... .......... .......... .......... .......... 17% 21.9M 3s
 17700K .......... .......... .......... .......... .......... 17%  150M 3s
 17750K .......... .......... .......... .......... .......... 17%  171M 3s
 17800K .......... .......... .......... .......... .......... 17%  218M 3s
 17850K .......... .......... .......... .......... .......... 17%  202M 3s
 17900K .......... .......... .......... .......... .......... 17%  455M 3s
 17950K .......... .......... .......... .......... .......... 17% 20.7M 3s
 18000K .......... .......... .......... .......... .......... 17%  125M 3s
 18050K .......... .......... .......... .......... .......... 17% 5.58M 3s
 18100K .......... .......... .......... .......... .......... 17%  205M 3s
 18150K .......... .......... .......... .......... .......... 17%  159M 3s
 18200K .......... .......... .......... .......... .......... 17%  152M 3s
 18250K .......... .......... .......... .......... .......... 17%  148M 3s
 18300K .......... .......... .......... .......... .......... 17%  271M 3s
 18350K .......... .......... .......... .......... .......... 17%  438M 3s
 18400K .......... .......... .......... .......... .......... 18%  451M 3s
 18450K .......... .......... .......... .......... .......... 18%  346M 3s
 18500K .......... .......... .......... .......... .......... 18%  379M 3s
 18550K .......... .......... .......... .......... .......... 18%  243M 3s
 18600K .......... .......... .......... .......... .......... 18% 14.7M 3s
 18650K .......... .......... .......... .......... .......... 18% 12.8M 3s
 18700K .......... .......... .......... .......... .......... 18%  109M 3s
 18750K .......... .......... .......... .......... .......... 18%  108M 3s
 18800K .......... .......... .......... .......... .......... 18%  104M 3s
 18850K .......... .......... .......... .......... .......... 18%  118M 3s
 18900K .......... .......... .......... .......... .......... 18% 97.1M 3s
 18950K .......... .......... .......... .......... .......... 18%  119M 3s
 19000K .......... .......... .......... .......... .......... 18% 90.3M 3s
 19050K .......... .......... .......... .......... .......... 18% 15.9M 3s
 19100K .......... .......... .......... .......... .......... 18%  437M 3s
 19150K .......... .......... .......... .......... .......... 18% 19.4M 3s
 19200K .......... .......... .......... .......... .......... 18%  224M 3s
 19250K .......... .......... .......... .......... .......... 18%  166M 3s
 19300K .......... .......... .......... .......... .......... 18%  130M 3s
 19350K .......... .......... .......... .......... .......... 18% 97.9M 3s
 19400K .......... .......... .......... .......... .......... 18% 8.93M 3s
 19450K .......... .......... .......... .......... .......... 19%  433M 3s
 19500K .......... .......... .......... .......... .......... 19%  427M 3s
 19550K .......... .......... .......... .......... .......... 19%  191M 3s
 19600K .......... .......... .......... .......... .......... 19%  309M 3s
 19650K .......... .......... .......... .......... .......... 19%  156M 3s
 19700K .......... .......... .......... .......... .......... 19%  182M 3s
 19750K .......... .......... .......... .......... .......... 19%  161M 3s
 19800K .......... .......... .......... .......... .......... 19% 24.3M 3s
 19850K .......... .......... .......... .......... .......... 19%  168M 3s
 19900K .......... .......... .......... .......... .......... 19%  164M 3s
 19950K .......... .......... .......... .......... .......... 19%  156M 3s
 20000K .......... .......... .......... .......... .......... 19%  152M 3s
 20050K .......... .......... .......... .......... .......... 19%  244M 3s
 20100K .......... .......... .......... .......... .......... 19%  227M 3s
 20150K .......... .......... .......... .......... .......... 19% 20.7M 3s
 20200K .......... .......... .......... .......... .......... 19%  151M 3s
 20250K .......... .......... .......... .......... .......... 19%  151M 3s
 20300K .......... .......... .......... .......... .......... 19%  161M 3s
 20350K .......... .......... .......... .......... .......... 19%  159M 3s
 20400K .......... .......... .......... .......... .......... 19% 7.70M 3s
 20450K .......... .......... .......... .......... .......... 20%  409M 3s
 20500K .......... .......... .......... .......... .......... 20%  391M 3s
 20550K .......... .......... .......... .......... .......... 20%  453M 3s
 20600K .......... .......... .......... .......... .......... 20%  456M 3s
 20650K .......... .......... .......... .......... .......... 20%  454M 3s
 20700K .......... .......... .......... .......... .......... 20%  391M 3s
 20750K .......... .......... .......... .......... .......... 20%  189M 3s
 20800K .......... .......... .......... .......... .......... 20%  188M 3s
 20850K .......... .......... .......... .......... .......... 20% 8.53M 3s
 20900K .......... .......... .......... .......... .......... 20%  107M 3s
 20950K .......... .......... .......... .......... .......... 20%  126M 3s
 21000K .......... .......... .......... .......... .......... 20%  124M 3s
 21050K .......... .......... .......... .......... .......... 20% 92.9M 3s
 21100K .......... .......... .......... .......... .......... 20%  109M 3s
 21150K .......... .......... .......... .......... .......... 20%  116M 3s
 21200K .......... .......... .......... .......... .......... 20% 87.5M 3s
 21250K .......... .......... .......... .......... .......... 20%  177M 3s
 21300K .......... .......... .......... .......... .......... 20% 82.1M 3s
 21350K .......... .......... .......... .......... .......... 20% 11.3M 3s
 21400K .......... .......... .......... .......... .......... 20%  337M 3s
 21450K .......... .......... .......... .......... .......... 20% 12.4M 3s
 21500K .......... .......... .......... .......... .......... 21%  122M 3s
 21550K .......... .......... .......... .......... .......... 21%  127M 3s
 21600K .......... .......... .......... .......... .......... 21%  115M 3s
 21650K .......... .......... .......... .......... .......... 21% 90.0M 3s
 21700K .......... .......... .......... .......... .......... 21%  114M 3s
 21750K .......... .......... .......... .......... .......... 21% 81.8M 3s
 21800K .......... .......... .......... .......... .......... 21% 50.0M 3s
 21850K .......... .......... .......... .......... .......... 21% 99.0M 3s
 21900K .......... .......... .......... .......... .......... 21%  164M 3s
 21950K .......... .......... .......... .......... .......... 21%  220M 3s
 22000K .......... .......... .......... .......... .......... 21%  186M 3s
 22050K .......... .......... .......... .......... .......... 21% 11.8M 3s
 22100K .......... .......... .......... .......... .......... 21%  347M 3s
 22150K .......... .......... .......... .......... .......... 21%  370M 3s
 22200K .......... .......... .......... .......... .......... 21%  458M 3s
 22250K .......... .......... .......... .......... .......... 21%  457M 3s
 22300K .......... .......... .......... .......... .......... 21%  460M 3s
 22350K .......... .......... .......... .......... .......... 21% 14.6M 3s
 22400K .......... .......... .......... .......... .......... 21%  128M 3s
 22450K .......... .......... .......... .......... .......... 21% 74.9M 3s
 22500K .......... .......... .......... .......... .......... 22%  144M 3s
 22550K .......... .......... .......... .......... .......... 22%  135M 3s
 22600K .......... .......... .......... .......... .......... 22% 47.4M 3s
 22650K .......... .......... .......... .......... .......... 22%  143M 3s
 22700K .......... .......... .......... .......... .......... 22%  147M 3s
 22750K .......... .......... .......... .......... .......... 22%  181M 3s
