--2017-05-01 22:02:37--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
  2000K .......... .......... .......... .......... ..........  2%  135M 19s
  2050K .......... .......... .......... .......... ..........  2% 86.7M 19s
  2100K .......... .......... .......... .......... ..........  2%  153M 19s
  2150K .......... .......... .......... .......... ..........  2% 70.9M 18s
  2200K .......... .......... .......... .......... ..........  2%  211M 18s
  2250K .......... .......... .......... .......... ..........  2% 93.2M 17s
  2300K .......... .......... .......... .......... ..........  2%  127M 17s
  2350K .......... .......... .......... .......... ..........  2%  151M 17s
  2400K .......... .......... .......... .......... ..........  2%  108M 16s
  2450K .......... .......... .......... .......... ..........  2%  128M 16s
  2500K .......... .......... .......... .......... ..........  2% 96.1M 16s
  2550K .......... .......... .......... .......... ..........  2%  133M 15s
  2600K .......... .......... .......... .......... ..........  2%  105M 15s
  2650K .......... .......... .......... .......... ..........  2% 99.5M 15s
  2700K .......... .......... .......... .......... ..........  2%  106M 15s
  2750K .......... .......... .......... .......... ..........  2%  121M 14s
  2800K .......... .......... .......... .......... ..........  2% 85.4M 14s
  2850K .......... .......... .......... .......... ..........  2%  129M 14s
  2900K .......... .......... .......... .......... ..........  2%  120M 14s
  2950K .......... .......... .......... .......... ..........  2% 99.0M 13s
  3000K .......... .......... .......... .......... ..........  2%  126M 13s
  3050K .......... .......... .......... .......... ..........  3%  105M 13s
  3100K .......... .......... .......... .......... ..........  3% 1.74M 14s
  3150K .......... .......... .......... .......... ..........  3%  139M 13s
  3200K .......... .......... .......... .......... ..........  3% 5.03M 14s
  3250K .......... .......... .......... .......... ..........  3%  105M 13s
  3300K .......... .......... .......... .......... ..........  3%  120M 13s
  3350K .......... .......... .......... .......... ..........  3%  108M 13s
  3400K .......... .......... .......... .......... ..........  3%  105M 13s
  3450K .......... .......... .......... .......... ..........  3%  107M 13s
  3500K .......... .......... .......... .......... ..........  3%  117M 12s
  3550K .......... .......... .......... .......... ..........  3% 96.4M 12s
  3600K .......... .......... .......... .......... ..........  3%  126M 12s
  3650K .......... .......... .......... .......... ..........  3%  102M 12s
  3700K .......... .......... .......... .......... ..........  3%  104M 12s
  3750K .......... .......... .......... .......... ..........  3% 83.2M 12s
  3800K .......... .......... .......... .......... ..........  3%  125M 12s
  3850K .......... .......... .......... .......... ..........  3%  126M 11s
  3900K .......... .......... .......... .......... ..........  3% 91.0M 11s
  3950K .......... .......... .......... .......... ..........  3%  129M 11s
  4000K .......... .......... .......... .......... ..........  3%  113M 11s
  4050K .......... .......... .......... .......... ..........  4% 90.2M 11s
  4100K .......... .......... .......... .......... ..........  4%  125M 11s
  4150K .......... .......... .......... .......... ..........  4%  119M 11s
  4200K .......... .......... .......... .......... ..........  4% 97.1M 10s
  4250K .......... .......... .......... .......... ..........  4%  119M 10s
  4300K .......... .......... .......... .......... ..........  4%  109M 10s
  4350K .......... .......... .......... .......... ..........  4% 94.3M 10s
  4400K .......... .......... .......... .......... ..........  4%  117M 10s
  4450K .......... .......... .......... .......... ..........  4% 85.3M 10s
  4500K .......... .......... .......... .......... ..........  4%  161M 10s
  4550K .......... .......... .......... .......... ..........  4%  121M 10s
  4600K .......... .......... .......... .......... ..........  4% 85.9M 10s
  4650K .......... .......... .......... .......... ..........  4%  135M 10s
  4700K .......... .......... .......... .......... ..........  4%  108M 9s
  4750K .......... .......... .......... .......... ..........  4% 97.2M 9s
  4800K .......... .......... .......... .......... ..........  4%  128M 9s
  4850K .......... .......... .......... .......... ..........  4%  116M 9s
  4900K .......... .......... .......... .......... ..........  4% 90.7M 9s
  4950K .......... .......... .......... .......... ..........  4%  114M 9s
  5000K .......... .......... .......... .......... ..........  4%  112M 9s
  5050K .......... .......... .......... .......... ..........  4%  113M 9s
  5100K .......... .......... .......... .......... ..........  5%  114M 9s
  5150K .......... .......... .......... .......... ..........  5% 95.1M 9s
  5200K .......... .......... .......... .......... ..........  5% 2.27M 9s
  5250K .......... .......... .......... .......... ..........  5%  242M 9s
  5300K .......... .......... .......... .......... ..........  5% 5.05M 9s
  5350K .......... .......... .......... .......... ..........  5%  127M 9s
  5400K .......... .......... .......... .......... ..........  5% 75.4M 9s
  5450K .......... .......... .......... .......... ..........  5%  184M 9s
  5500K .......... .......... .......... .......... ..........  5% 90.4M 9s
  5550K .......... .......... .......... .......... ..........  5%  120M 9s
  5600K .......... .......... .......... .......... ..........  5% 92.3M 8s
  5650K .......... .......... .......... .......... ..........  5%  127M 8s
  5700K .......... .......... .......... .......... ..........  5%  124M 8s
  5750K .......... .......... .......... .......... ..........  5%  116M 8s
  5800K .......... .......... .......... .......... ..........  5% 71.8M 8s
  5850K .......... .......... .......... .......... ..........  5%  167M 8s
  5900K .......... .......... .......... .......... ..........  5%  102M 8s
  5950K .......... .......... .......... .......... ..........  5% 96.1M 8s
  6000K .......... .......... .......... .......... ..........  5%  160M 8s
  6050K .......... .......... .......... .......... ..........  5% 97.3M 8s
  6100K .......... .......... .......... .......... ..........  6%  116M 8s
  6150K .......... .......... .......... .......... ..........  6%  124M 8s
  6200K .......... .......... .......... .......... ..........  6% 90.9M 8s
  6250K .......... .......... .......... .......... ..........  6%  107M 8s
  6300K .......... .......... .......... .......... ..........  6%  112M 8s
  6350K .......... .......... .......... .......... ..........  6%  107M 8s
  6400K .......... .......... .......... .......... ..........  6%  117M 7s
  6450K .......... .......... .......... .......... ..........  6%  116M 7s
  6500K .......... .......... .......... .......... ..........  6% 96.3M 7s
  6550K .......... .......... .......... .......... ..........  6%  125M 7s
  6600K .......... .......... .......... .......... ..........  6% 96.0M 7s
  6650K .......... .......... .......... .......... ..........  6% 65.9M 7s
  6700K .......... .......... .......... .......... ..........  6%  151M 7s
  6750K .......... .......... .......... .......... ..........  6%  166M 7s
  6800K .......... .......... .......... .......... ..........  6%  131M 7s
  6850K .......... .......... .......... .......... ..........  6% 66.6M 7s
  6900K .......... .......... .......... .......... ..........  6%  171M 7s
  6950K .......... .......... .......... .......... ..........  6%  140M 7s
  7000K .......... .......... .......... .......... ..........  6% 99.0M 7s
  7050K .......... .......... .......... .......... ..........  6%  118M 7s
  7100K .......... .......... .......... .......... ..........  6%  105M 7s
  7150K .......... .......... .......... .......... ..........  7% 85.4M 7s
  7200K .......... .......... .......... .......... ..........  7%  143M 7s
  7250K .......... .......... .......... .......... ..........  7%  114M 7s
  7300K .......... .......... .......... .......... ..........  7%  114M 7s
  7350K .......... .......... .......... .......... ..........  7% 99.8M 7s
  7400K .......... .......... .......... .......... ..........  7%  129M 7s
  7450K .......... .......... .......... .......... ..........  7% 90.7M 6s
  7500K .......... .......... .......... .......... ..........  7%  126M 6s
  7550K .......... .......... .......... .......... ..........  7%  102M 6s
  7600K .......... .......... .......... .......... ..........  7%  108M 6s
  7650K .......... .......... .......... .......... ..........  7%  120M 6s
  7700K .......... .......... .......... .......... ..........  7% 88.5M 6s
  7750K .......... .......... .......... .......... ..........  7% 2.78M 6s
  7800K .......... .......... .......... .......... ..........  7%  139M 6s
  7850K .......... .......... .......... .......... ..........  7% 5.14M 6s
  7900K .......... .......... .......... .......... ..........  7%  137M 6s
  7950K .......... .......... .......... .......... ..........  7%  120M 6s
  8000K .......... .......... .......... .......... ..........  7%  106M 6s
  8050K .......... .......... .......... .......... ..........  7%  120M 6s
  8100K .......... .......... .......... .......... ..........  7%  105M 6s
  8150K .......... .......... .......... .......... ..........  8% 97.5M 6s
  8200K .......... .......... .......... .......... ..........  8%  129M 6s
  8250K .......... .......... .......... .......... ..........  8% 99.2M 6s
  8300K .......... .......... .......... .......... ..........  8%  119M 6s
  8350K .......... .......... .......... .......... ..........  8%  114M 6s
  8400K .......... .......... .......... .......... ..........  8% 99.8M 6s
  8450K .......... .......... .......... .......... ..........  8%  110M 6s
  8500K .......... .......... .......... .......... ..........  8%  101M 6s
  8550K .......... .......... .......... .......... ..........  8%  118M 6s
  8600K .......... .......... .......... .......... ..........  8%  108M 6s
  8650K .......... .......... .......... .......... ..........  8%  116M 6s
  8700K .......... .......... .......... .......... ..........  8%  108M 6s
  8750K .......... .......... .......... .......... ..........  8% 97.6M 6s
  8800K .......... .......... .......... .......... ..........  8%  117M 6s
  8850K .......... .......... .......... .......... ..........  8% 95.3M 6s
  8900K .......... .......... .......... .......... ..........  8%  127M 6s
  8950K .......... .......... .......... .......... ..........  8%  114M 6s
  9000K .......... .......... .......... .......... ..........  8% 87.8M 6s
  9050K .......... .......... .......... .......... ..........  8%  146M 6s
  9100K .......... .......... .......... .......... ..........  8%  105M 6s
  9150K .......... .......... .......... .......... ..........  8% 93.2M 6s
  9200K .......... .......... .......... .......... ..........  9%  135M 6s
  9250K .......... .......... .......... .......... ..........  9% 86.1M 6s
  9300K .......... .......... .......... .......... ..........  9%  130M 6s
  9350K .......... .......... .......... .......... ..........  9%  105M 5s
  9400K .......... .......... .......... .......... ..........  9% 96.3M 5s
  9450K .......... .......... .......... .......... ..........  9%  126M 5s
  9500K .......... .......... .......... .......... ..........  9%  119M 5s
  9550K .......... .......... .......... .......... ..........  9% 96.5M 5s
  9600K .......... .......... .......... .......... ..........  9%  117M 5s
  9650K .......... .......... .......... .......... ..........  9%  101M 5s
  9700K .......... .......... .......... .......... ..........  9%  115M 5s
  9750K .......... .......... .......... .......... ..........  9% 94.3M 5s
  9800K .......... .......... .......... .......... ..........  9%  127M 5s
  9850K .......... .......... .......... .......... ..........  9%  111M 5s
  9900K .......... .......... .......... .......... ..........  9% 99.8M 5s
  9950K .......... .......... .......... .......... ..........  9% 97.1M 5s
 10000K .......... .......... .......... .......... ..........  9%  124M 5s
 10050K .......... .......... .......... .......... ..........  9%  123M 5s
 10100K .......... .......... .......... .......... ..........  9% 70.9M 5s
 10150K .......... .......... .......... .......... ..........  9%  163M 5s
 10200K .......... .......... .......... .......... .......... 10%  122M 5s
 10250K .......... .......... .......... .......... .......... 10%  123M 5s
 10300K .......... .......... .......... .......... .......... 10%  101M 5s
 10350K .......... .......... .......... .......... .......... 10%  102M 5s
 10400K .......... .......... .......... .......... .......... 10%  108M 5s
 10450K .......... .......... .......... .......... .......... 10%  124M 5s
 10500K .......... .......... .......... .......... .......... 10%  101M 5s
 10550K .......... .......... .......... .......... .......... 10%  107M 5s
 10600K .......... .......... .......... .......... .......... 10%  118M 5s
 10650K .......... .......... .......... .......... .......... 10%  108M 5s
 10700K .......... .......... .......... .......... .......... 10% 95.6M 5s
 10750K .......... .......... .......... .......... .......... 10% 3.64M 5s
 10800K .......... .......... .......... .......... .......... 10% 97.6M 5s
 10850K .......... .......... .......... .......... .......... 10% 5.22M 5s
 10900K .......... .......... .......... .......... .......... 10%  108M 5s
 10950K .......... .......... .......... .......... .......... 10%  122M 5s
 11000K .......... .......... .......... .......... .......... 10%  101M 5s
 11050K .......... .......... .......... .......... .......... 10%  102M 5s
 11100K .......... .......... .......... .......... .......... 10%  116M 5s
 11150K .......... .......... .......... .......... .......... 10%  108M 5s
 11200K .......... .......... .......... .......... .......... 10% 98.4M 5s
 11250K .......... .......... .......... .......... .......... 11%  116M 5s
 11300K .......... .......... .......... .......... .......... 11% 91.5M 5s
 11350K .......... .......... .......... .......... .......... 11%  117M 5s
 11400K .......... .......... .......... .......... .......... 11%  120M 5s
 11450K .......... .......... .......... .......... .......... 11%  109M 5s
 11500K .......... .......... .......... .......... .......... 11% 99.0M 5s
 11550K .......... .......... .......... .......... .......... 11% 14.3M 5s
 11600K .......... .......... .......... .......... .......... 11%  125M 5s
 11650K .......... .......... .......... .......... .......... 11%  110M 5s
 11700K .......... .......... .......... .......... .......... 11% 84.5M 5s
 11750K .......... .......... .......... .......... .......... 11%  152M 5s
 11800K .......... .......... .......... .......... .......... 11% 98.8M 5s
 11850K .......... .......... .......... .......... .......... 11%  124M 5s
 11900K .......... .......... .......... .......... .......... 11% 92.6M 5s
 11950K .......... .......... .......... .......... .......... 11%  126M 5s
 12000K .......... .......... .......... .......... .......... 11% 96.1M 5s
 12050K .......... .......... .......... .......... .......... 11%  113M 5s
 12100K .......... .......... .......... .......... .......... 11%  105M 4s
 12150K .......... .......... .......... .......... .......... 11%  110M 4s
 12200K .......... .......... .......... .......... .......... 11%  112M 4s
 12250K .......... .......... .......... .......... .......... 12%  119M 4s
 12300K .......... .......... .......... .......... .......... 12% 95.8M 4s
 12350K .......... .......... .......... .......... .......... 12%  118M 4s
 12400K .......... .......... .......... .......... .......... 12%  118M 4s
 12450K .......... .......... .......... .......... .......... 12%  102M 4s
 12500K .......... .......... .......... .......... .......... 12%  120M 4s
 12550K .......... .......... .......... .......... .......... 12% 59.3M 4s
 12600K .......... .......... .......... .......... .......... 12%  216M 4s
 12650K .......... .......... .......... .......... .......... 12%  113M 4s
 12700K .......... .......... .......... .......... .......... 12%  117M 4s
 12750K .......... .......... .......... .......... .......... 12% 92.4M 4s
 12800K .......... .......... .......... .......... .......... 12%  131M 4s
 12850K .......... .......... .......... .......... .......... 12%  107M 4s
 12900K .......... .......... .......... .......... .......... 12%  112M 4s
 12950K .......... .......... .......... .......... .......... 12%  104M 4s
 13000K .......... .......... .......... .......... .......... 12%  107M 4s
 13050K .......... .......... .......... .......... .......... 12% 94.3M 4s
 13100K .......... .......... .......... .......... .......... 12%  112M 4s
 13150K .......... .......... .......... .......... .......... 12%  134M 4s
 13200K .......... .......... .......... .......... .......... 12%  102M 4s
 13250K .......... .......... .......... .......... .......... 12%  102M 4s
 13300K .......... .......... .......... .......... .......... 13%  120M 4s
 13350K .......... .......... .......... .......... .......... 13%  103M 4s
 13400K .......... .......... .......... .......... .......... 13% 99.6M 4s
 13450K .......... .......... .......... .......... .......... 13%  129M 4s
 13500K .......... .......... .......... .......... .......... 13% 88.2M 4s
 13550K .......... .......... .......... .......... .......... 13%  119M 4s
 13600K .......... .......... .......... .......... .......... 13%  128M 4s
 13650K .......... .......... .......... .......... .......... 13% 83.1M 4s
 13700K .......... .......... .......... .......... .......... 13%  161M 4s
 13750K .......... .......... .......... .......... .......... 13%  104M 4s
 13800K .......... .......... .......... .......... .......... 13% 4.85M 4s
 13850K .......... .......... .......... .......... .......... 13% 75.2M 4s
 13900K .......... .......... .......... .......... .......... 13% 5.23M 4s
 13950K .......... .......... .......... .......... .......... 13% 84.8M 4s
 14000K .......... .......... .......... .......... .......... 13% 93.5M 4s
 14050K .......... .......... .......... .......... .......... 13%  107M 4s
 14100K .......... .......... .......... .......... .......... 13% 88.8M 4s
 14150K .......... .......... .......... .......... .......... 13%  167M 4s
 14200K .......... .......... .......... .......... .......... 13% 84.3M 4s
 14250K .......... .......... .......... .......... .......... 13%  114M 4s
 14300K .......... .......... .......... .......... .......... 14%  124M 4s
 14350K .......... .......... .......... .......... .......... 14% 7.56M 4s
 14400K .......... .......... .......... .......... .......... 14%  124M 4s
 14450K .......... .......... .......... .......... .......... 14% 86.8M 4s
 14500K .......... .......... .......... .......... .......... 14%  125M 4s
 14550K .......... .......... .......... .......... .......... 14%  134M 4s
 14600K .......... .......... .......... .......... .......... 14% 86.6M 4s
 14650K .......... .......... .......... .......... .......... 14%  137M 4s
 14700K .......... .......... .......... .......... .......... 14% 86.3M 4s
 14750K .......... .......... .......... .......... .......... 14%  109M 4s
 14800K .......... .......... .......... .......... .......... 14% 95.5M 4s
 14850K .......... .......... .......... .......... .......... 14%  131M 4s
 14900K .......... .......... .......... .......... .......... 14%  100M 4s
 14950K .......... .......... .......... .......... .......... 14%  160M 4s
 15000K .......... .......... .......... .......... .......... 14% 91.1M 4s
 15050K .......... .......... .......... .......... .......... 14%  117M 4s
 15100K .......... .......... .......... .......... .......... 14%  116M 4s
 15150K .......... .......... .......... .......... .......... 14%  101M 4s
 15200K .......... .......... .......... .......... .......... 14% 96.6M 4s
 15250K .......... .......... .......... .......... .......... 14%  104M 4s
 15300K .......... .......... .......... .......... .......... 14%  134M 4s
 15350K .......... .......... .......... .......... .......... 15% 72.9M 4s
 15400K .......... .......... .......... .......... .......... 15%  141M 4s
 15450K .......... .......... .......... .......... .......... 15%  140M 4s
 15500K .......... .......... .......... .......... .......... 15% 95.9M 4s
 15550K .......... .......... .......... .......... .......... 15%  122M 4s
 15600K .......... .......... .......... .......... .......... 15% 8.81M 4s
 15650K .......... .......... .......... .......... .......... 15% 7.94M 4s
 15700K .......... .......... .......... .......... .......... 15%  240M 4s
 15750K .......... .......... .......... .......... .......... 15%  278M 4s
 15800K .......... .......... .......... .......... .......... 15%  375M 4s
 15850K .......... .......... .......... .......... .......... 15%  220M 4s
 15900K .......... .......... .......... .......... .......... 15%  202M 4s
 15950K .......... .......... .......... .......... .......... 15%  311M 4s
 16000K .......... .......... .......... .......... .......... 15%  370M 4s
 16050K .......... .......... .......... .......... .......... 15%  378M 4s
 16100K .......... .......... .......... .......... .......... 15%  316M 4s
 16150K .......... .......... .......... .......... .......... 15%  362M 4s
 16200K .......... .......... .......... .......... .......... 15%  381M 4s
 16250K .......... .......... .......... .......... .......... 15%  379M 4s
 16300K .......... .......... .......... .......... .......... 15%  325M 4s
 16350K .......... .......... .......... .......... .......... 16%  378M 4s
 16400K .......... .......... .......... .......... .......... 16%  322M 4s
 16450K .......... .......... .......... .......... .......... 16%  341M 4s
 16500K .......... .......... .......... .......... .......... 16%  329M 4s
 16550K .......... .......... .......... .......... .......... 16%  380M 3s
 16600K .......... .......... .......... .......... .......... 16%  378M 3s
 16650K .......... .......... .......... .......... .......... 16%  386M 3s
 16700K .......... .......... .......... .......... .......... 16%  332M 3s
 16750K .......... .......... .......... .......... .......... 16%  389M 3s
 16800K .......... .......... .......... .......... .......... 16%  387M 3s
 16850K .......... .......... .......... .......... .......... 16% 17.8M 3s
 16900K .......... .......... .......... .......... .......... 16% 46.7M 3s
 16950K .......... .......... .......... .......... .......... 16% 5.34M 3s
 17000K .......... .......... .......... .......... .......... 16% 49.1M 3s
 17050K .......... .......... .......... .......... .......... 16% 5.21M 3s
 17100K .......... .......... .......... .......... .......... 16%  111M 3s
 17150K .......... .......... .......... .......... .......... 16%  115M 3s
 17200K .......... .......... .......... .......... .......... 16%  108M 3s
 17250K .......... .......... .......... .......... .......... 16% 84.1M 3s
 17300K .......... .......... .......... .......... .......... 16%  103M 3s
 17350K .......... .......... .......... .......... .......... 16%  138M 3s
 17400K .......... .......... .......... .......... .......... 17% 96.4M 3s
 17450K .......... .......... .......... .......... .......... 17%  124M 3s
 17500K .......... .......... .......... .......... .......... 17%  105M 3s
 17550K .......... .......... .......... .......... .......... 17%  122M 3s
 17600K .......... .......... .......... .......... .......... 17%  104M 3s
 17650K .......... .......... .......... .......... .......... 17%  135M 3s
 17700K .......... .......... .......... .......... .......... 17% 79.1M 3s
 17750K .......... .......... .......... .......... .......... 17% 89.0M 3s
 17800K .......... .......... .......... .......... .......... 17%  131M 3s
 17850K .......... .......... .......... .......... .......... 17%  118M 3s
 17900K .......... .......... .......... .......... .......... 17%  122M 3s
 17950K .......... .......... .......... .......... .......... 17%  108M 3s
 18000K .......... .......... .......... .......... .......... 17%  114M 3s
 18050K .......... .......... .......... .......... .......... 17%  101M 3s
 18100K .......... .......... .......... .......... .......... 17%  124M 3s
 18150K .......... .......... .......... .......... .......... 17% 89.4M 3s
 18200K .......... .......... .......... .......... .......... 17% 97.3M 3s
 18250K .......... .......... .......... .......... .......... 17%  129M 3s
 18300K .......... .......... .......... .......... .......... 17%  134M 3s
 18350K .......... .......... .......... .......... .......... 17% 91.9M 3s
 18400K .......... .......... .......... .......... .......... 18%  109M 3s
 18450K .......... .......... .......... .......... .......... 18%  121M 3s
 18500K .......... .......... .......... .......... .......... 18% 19.3M 3s
 18550K .......... .......... .......... .......... .......... 18%  142M 3s
 18600K .......... .......... .......... .......... .......... 18%  113M 3s
 18650K .......... .......... .......... .......... .......... 18%  106M 3s
 18700K .......... .......... .......... .......... .......... 18%  109M 3s
 18750K .......... .......... .......... .......... .......... 18%  112M 3s
 18800K .......... .......... .......... .......... .......... 18%  112M 3s
 18850K .......... .......... .......... .......... .......... 18% 39.3M 3s
 18900K .......... .......... .......... .......... .......... 18% 85.2M 3s
 18950K .......... .......... .......... .......... .......... 18% 29.1M 3s
 19000K .......... .......... .......... .......... .......... 18%  128M 3s
 19050K .......... .......... .......... .......... .......... 18% 49.2M 3s
 19100K .......... .......... .......... .......... .......... 18%  132M 3s
 19150K .......... .......... .......... .......... .......... 18% 8.44M 3s
 19200K .......... .......... .......... .......... .......... 18%  128M 3s
 19250K .......... .......... .......... .......... .......... 18%  113M 3s
 19300K .......... .......... .......... .......... .......... 18% 97.0M 3s
 19350K .......... .......... .......... .......... .......... 18% 75.2M 3s
 19400K .......... .......... .......... .......... .......... 18%  226M 3s
 19450K .......... .......... .......... .......... .......... 19%  102M 3s
 19500K .......... .......... .......... .......... .......... 19%  108M 3s
 19550K .......... .......... .......... .......... .......... 19%  128M 3s
 19600K .......... .......... .......... .......... .......... 19%  102M 3s
 19650K .......... .......... .......... .......... .......... 19%  117M 3s
 19700K .......... .......... .......... .......... .......... 19% 85.2M 3s
 19750K .......... .......... .......... .......... .......... 19%  137M 3s
 19800K .......... .......... .......... .......... .......... 19%  107M 3s
 19850K .......... .......... .......... .......... .......... 19% 93.2M 3s
 19900K .......... .......... .......... .......... .......... 19%  123M 3s
 19950K .......... .......... .......... .......... .......... 19% 18.3M 3s
 20000K .......... .......... .......... .......... .......... 19% 3.64M 3s
 20050K .......... .......... .......... .......... .......... 19%  102M 3s
 20100K .......... .......... .......... .......... .......... 19%  121M 3s
 20150K .......... .......... .......... .......... .......... 19% 97.1M 3s
 20200K .......... .......... .......... .......... .......... 19%  116M 3s
 20250K .......... .......... .......... .......... .......... 19%  109M 3s
 20300K .......... .......... .......... .......... .......... 19%  102M 3s
 20350K .......... .......... .......... .......... .......... 19%  127M 3s
 20400K .......... .......... .......... .......... .......... 19% 90.2M 3s
 20450K .......... .......... .......... .......... .......... 20%  112M 3s
 20500K .......... .......... .......... .......... .......... 20%  122M 3s
 20550K .......... .......... .......... .......... .......... 20% 75.7M 3s
 20600K .......... .......... .......... .......... .......... 20%  148M 3s
 20650K .......... .......... .......... .......... .......... 20%  129M 3s
 20700K .......... .......... .......... .......... .......... 20%  113M 3s
 20750K .......... .......... .......... .......... .......... 20% 96.8M 3s
 20800K .......... .......... .......... .......... .......... 20%  130M 3s
 20850K .......... .......... .......... .......... .......... 20% 97.8M 3s
 20900K .......... .......... .......... .......... .......... 20%  106M 3s
 20950K .......... .......... .......... .......... .......... 20%  113M 3s
 21000K .......... .......... .......... .......... .......... 20%  111M 3s
 21050K .......... .......... .......... .......... .......... 20%  115M 3s
 21100K .......... .......... .......... .......... .......... 20%  106M 3s
 21150K .......... .......... .......... .......... .......... 20%  103M 3s
 21200K .......... .......... .......... .......... .......... 20%  111M 3s
 21250K .......... .......... .......... .......... .......... 20% 93.6M 3s
 21300K .......... .......... .......... .......... .......... 20%  116M 3s
 21350K .......... .......... .......... .......... .......... 20%  125M 3s
 21400K .......... .......... .......... .......... .......... 20% 95.2M 3s
 21450K .......... .......... .......... .......... .......... 20% 20.7M 3s
 21500K .......... .......... .......... .......... .......... 21%  117M 3s
 21550K .......... .......... .......... .......... .......... 21% 42.4M 3s
 21600K .......... .......... .......... .......... .......... 21%  186M 3s
 21650K .......... .......... .......... .......... .......... 21%  119M 3s
 21700K .......... .......... .......... .......... .......... 21%  182M 3s
 21750K .......... .......... .......... .......... .......... 21%  182M 3s
 21800K .......... .......... .......... .......... .......... 21%  142M 3s
 21850K .......... .......... .......... .......... .......... 21%  109M 3s
 21900K .......... .......... .......... .......... .......... 21%  112M 3s
 21950K .......... .......... .......... .......... .......... 21% 97.5M 3s
 22000K .......... .......... .......... .......... .......... 21%  127M 3s
 22050K .......... .......... .......... .......... .......... 21%  101M 3s
 22100K .......... .......... .......... .......... .......... 21%  113M 3s
 22150K .......... .......... .......... .......... .......... 21% 9.79M 3s
 22200K .......... .......... .......... .......... .......... 21%  128M 3s
 22250K .......... .......... .......... .......... .......... 21% 57.8M 3s
 22300K .......... .......... .......... .......... .......... 21%  108M 3s
 22350K .......... .......... .......... .......... .......... 21%  101M 3s
 22400K .......... .......... .......... .......... .......... 21%  110M 3s
 22450K .......... .......... .......... .......... .......... 21% 96.0M 3s
 22500K .......... .......... .......... .......... .......... 22%  123M 3s
 22550K .......... .......... .......... .......... .......... 22% 97.1M 3s
 22600K .......... .......... .......... .......... .......... 22%  114M 3s
 22650K .......... .......... .......... .......... .......... 22%  117M 3s
 22700K .......... .......... .......... .......... .......... 22% 80.9M 3s
